company_name,address,phone,website,email,category,owner,primary_product,secondary_products,review_rating,review_count,opportunity_score,opportunity_reasons
GARTS Security Services,"{""borough"":""Johannesburg"",""street"":""187 Lilian Ngoyi St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",084 078 3322,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,15,Phone
Ngwenya 24/7 Protection Services (PTY)LTD,"{""borough"":""Primrose"",""street"":""17 Orange St"",""city"":""Johannesburg"",""postal_code"":""1401"",""state"":"""",""country"":""ZA""}",073 855 6559,http://www.ngwenyaprotection.co.za/,info@ngwenyaprotection.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,7,70,"Website, Email, Phone, Good Google Rating"
Mtshoko Security Services & Mtshoko Security Training College,"{""borough"":""Johannesburg"",""street"":""132 Albertina Sisulu Rd"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",069 512 5946,http://www.mtshokosecurity.co.za/,info@mtshokosecurity.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.900000,635,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Vision Tactical,"{""borough"":""Houghton Estate"",""street"":""46 Central St"",""city"":""Johannesburg"",""postal_code"":""2198"",""state"":"""",""country"":""ZA""}",084 222 2222,http://visiontactical.co.za/,info@visiontactical.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.500000,182,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Mantis Security,"{""borough"":""Houghton Estate"",""street"":""2 Elm St"",""city"":""Johannesburg"",""postal_code"":""2041"",""state"":"""",""country"":""ZA""}",011 487 1000,https://mantissecurity.co.za/,info@mantissecurity.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.500000,91,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Mezuzah Security Services,"{""borough"":""Wynberg"",""street"":""1st Floor, 15A 4th St"",""city"":""Sandton"",""postal_code"":""2090"",""state"":"""",""country"":""ZA""}",011 440 0630,https://www.mezuzahsecurity.co.za/,feelsafe@mezuzahsecurity.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.800000,91,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Top Ten Security Services,"{""borough"":""Marshalltown"",""street"":""143 Marshall St"",""city"":""Johannesburg"",""postal_code"":""2107"",""state"":"""",""country"":""ZA""}",010 516 0920,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.100000,11,30,"Phone, Good Google Rating"
BoldGuard Security Services,"{""borough"":""Auckland Park"",""street"":""18 Beverley Rd"",""city"":""Johannesburg"",""postal_code"":""2092"",""state"":"""",""country"":""ZA""}",010 012 6951,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,2,30,"Phone, Good Google Rating"
MAGEN SECURITY,"{""borough"":""Highlands North"",""street"":""206 Athol St"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",086 188 8879,https://www.magensecurity.co.za/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.200000,68,65,"Website, Phone, Good Google Rating, Established Reputation"
SSG Security Services,"{""borough"":""Johannesburg"",""street"":""13 Wanderers St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 333 8386,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,15,Phone
